Subject,Relation,Object
మజ్జిగోపాలపురంలో వ్యవసాయానికి,జరుగుతోంది,వనరుల
జంధ్యాల సుబ్రహ్మణ్యశాస్త్రి,దర్శకుడు,సినిమా
ప్రత్యేకించి హాస్యకథా,చెయ్యి,చిత్రాలు
పశ్చిమ గోదావరి,జన్మించాడు,జిల్లా నరసాపురంలో
1974లో జంధ్యాల,చేసాడు,ప్రవేశం
శంకరాభరణం సాగరసంగమం,రాశాడు,సినిమాలకు
ముద్దమందారం దర్శకుడిగా,సృజించాడు,సినిమాతో చిత్రాన్ని
హైదరాబాదులో గుండె,మరణించాడు,పోటుతో
1976 దేవుడు,మొదలుపెట్టాడు,రచయితగా సినిమా
సుమారు సినిమాలకు,తెచ్చుకున్నాడు,రచయితగా రచయితగా
కాలంలో దర్శకుడిగా,రూపొందించాడు,హాస్యచిత్రాలను
ఆరోగ్యకరమైన హాస్యానికి,పేరుగాంచాడు,జంధ్యాల
1992 ఆపద్బాంధవుడు,చేసాడు,రంగానికి
: మట్టి,సంభాషణ,పూసుకొని
రాజా ప్రియురాలు,చూపమంటాడు,కోపంతో
""" రాజుగారి",చూసి,క్లాసులో సత్యనారాయణని
2002లో సత్యం,ప్రవేశించాడు,చిత్రం దర్శకుడిగా సినిమారంగంలోకి
మలయాళంలో సినిమా,చేస్తున్నాడు,కెరీర్ సినిమాలు
సూర్యకిరణ్ దర్శకత్వంలో,నటించింది,చిత్రాలలో
రావులమ్మపాలెం విశాఖపట్నం,గ్రామం,జిల్లా మండలానికి
హైదరాబాదు విశ్వవిద్యాలయము,యేర్పరచబడింది,విశ్వవిద్యాలయముగా
హైదరాబాదు కేంద్రీయ,పేరుపొందిన,విశ్వవిద్యాలయంగా
విశ్వవిద్యాలయమును ఇటీవల,చేశారు,హైదరాబాదు విశ్వవిద్యాలయముగా
విశ్వవిద్యాలయము విద్యకు,ఎదిగినది,భారతదేశములో
హైదరాబాదు విశ్వవిద్యాలయం,ఒకటి,దేశంలోనే
2012 సంవత్సరంలో,నిలబడింది,ముందంజలో
ఉత్తమ వర్సిటీతోపాటు,చేస్తారు,పరిశోధన ఆవిష్కరణలకు
రాష్ట్రపతి సందర్శకుని,తెలిపింది,వర్సిటీలకు
విద్యార్థుల అధ్యాపకుల,వచ్చింది,అప్పటినుంచి
2012 నాటికి,విస్తరించింది,అధ్యాపకులలో
